,0
1403,J03473_i
1404,J03473_r
1405,J03478
1406,J03507
1407,J03544
1408,J03565
1409,J03569_i
1410,J03600
1411,J03634
1412,J03639
1413,J03727
1414,J03779
1415,J03802
1416,J03802
1417,J03810
1418,J03824
1419,J03827
1420,J03870
1421,J03925
1422,J04026
1423,J04027
1424,J04040
1425,J04058_f
1426,J04076
1427,J04080_i
1428,J04080_r
1429,J04088
1430,J04111
1431,J04130
1432,J04132
1433,J04132
1434,J04156
1435,J04173
1436,J04177
1437,J04440
1438,J04443
1439,J04449
1440,J04449
1441,J04621_i
1442,J04621_r
1443,J04739
1444,J04760
1445,J04765
1446,J04794
1447,J04809
1448,J04813_f
1449,J04838
1450,J04970
1451,J04990_f
1452,J04990_i
1453,J05008
1454,J05016
1455,J05017
1456,J05068
1457,J05096
1458,J05125
1459,J05125
1460,J05200
1461,J05235
1462,J05272
1463,J05401_f
1464,J05401_i
1465,J05428_f
1466,J05448
1467,J05459
1468,J05480
1469,J05550
1470,J05556
1471,J05682
1472,K01144
1473,K01740
1474,K01900
1475,K01911
1476,K01911
1477,K02100
1478,K02100
1479,K02566_f
1480,K02566_r_i
1481,K02766
1482,K03001
1483,K03191
1484,K03192_r_i
1485,K03193
1486,K03195
1487,K03204_f
1488,K03204_i
1489,K03208_f
1490,L00022
1491,L00073
1492,L00354
1493,L00389
1494,L00634
1495,L00635
1496,L01131
1497,L01131
1498,L01664
1499,L02320
1500,L02321
1501,L02426_i
1502,L02547
1503,L02785
1504,L02840
1505,L02870
1506,L02931
1507,L02932
1508,L02950_i
1509,L03427
1510,L03840
1511,L04270
1512,L04282
1513,L04490
1514,L04656_f
1515,L04656_i
1516,L04733
1517,L04751
1518,L04791
1519,L04947
1520,L05072
1521,L05485_f
1522,L05500
1523,L05515
1524,L05568
1525,L06111_r
1526,L06132
1527,L06133
1528,L06139
1529,L06147
1530,L06175
1531,L06328
1532,L06419
1533,L06633
1534,L06850
1535,L07032
1536,L07033
1537,L07077_f
1538,L07335_f
1539,L07414
1540,L07590
1541,L07594_f
1542,L07594_i
1543,L07597
1544,L07615
1545,L07648
1546,L07738
1547,L07810
1548,L07919
1549,L07949
1550,L07956_i
1551,L08010
1552,L08010
1553,L08044
1554,L08069
1555,L08096
1556,L08177
1557,L08485
1558,L08599
1559,L08850
1560,L08893
1561,L08895
1562,L09118
1563,L09159_f
1564,L09159_i
1565,L09190
1566,L09234
1567,L09237
1568,L09247
1569,L09753
1570,L10101
1571,L10123
1572,L10125
1573,L10126
1574,L10284
1575,L10335
1576,L10386
1577,L10403
1578,L10413
1579,L10665
1580,L10678
1581,L10678
1582,L10717
1583,L10844
1584,L10911
1585,L11005
1586,L11015
1587,L11015
1588,L11239
1589,L11239
1590,L11244_f
1591,L11329
1592,L11353
1593,L11369
1594,L11373_f
1595,L11373_i
1596,L11667
1597,L11695
1598,L11701
1599,L11702
1600,L11708_i
1601,L12052
1602,L12168
1603,L12350
1604,L12398_f
1605,L12398_i
1606,L12468
1607,L12535
1608,L12579
1609,L12686
1610,L12693_f
1611,L12693_r_i
1612,L12723
1613,L12760
1614,L12964
1615,L13258
1616,L13268
1617,L13278
1618,L13286
1619,L13329
1620,L13385
1621,L13434
1622,L13616
1623,L13689
1624,L13698
1625,L13698
1626,L13740
1627,L13744
1628,L13852_i
1629,L13923
1630,L13923
1631,L13939
1632,L13972
1633,L14075
1634,L14076
1635,L14430
1636,L14542
1637,L14595
1638,L14787
1639,L14787
1640,L14812
1641,L14813
1642,L14837_f
1643,L14837_f
1644,L14837_i
1645,L14837_r_i
1646,L14848_f
1647,L14848_f
1648,L14848_i
1649,L14848_i
1650,L14927
1651,L15189
1652,L15309
1653,L15388_f
1654,L15388_r_i
1655,L16242
1656,L16464
1657,L16510
1658,L16782
1659,L16783
1660,L16794
1661,L16895
1662,L16895
1663,L16896_f
1664,L17075
1665,L17325
1666,L17326
1667,L17330
1668,L18887
1669,L18920
1670,L19067
1671,L19183
1672,L19267
1673,L19315
1674,L19593
1675,L19659
1676,L19711
1677,L19778_f
1678,L19778_i
1679,L19779
1680,L19871
1681,L19872_i
1682,L19872_r_i
1683,L20298
1684,L20316
1685,L20321
1686,L20348
1687,L20422
1688,L20431
1689,L20433
1690,L20463
1691,L20463
1692,L20469
1693,L20492_f
1694,L20688
1695,L20814
1696,L20815
1697,L20826
1698,L20852
1699,L20859
1700,L20861
1701,L21181
1702,L21715
1703,L21715
1704,L21893_i
1705,L21893_i
1706,L21893_r_i
1707,L21934
1708,L21993
1709,L22005
1710,L22009_r
1711,L22075
1712,L22206
1713,L22214
1714,L22342_f
1715,L22343
1716,L22524
1717,L22548_f
1718,L22548_f
1719,L22548_i
1720,L22548_r_i
1721,L22647
1722,L22650
1723,L23116
1724,L23808
1725,L23823
1726,L23852
1727,L23959
1728,L24470
1729,L24470
1730,L24564
1731,L25119
1732,L25270
1733,L25285
1734,L25441
1735,L25541
1736,L25615
1737,L25616
1738,L25665
1739,L25798_i
1740,L25877
1741,L25941
1742,L26081
1743,L26339
1744,L26405_i
1745,L26405_r
1746,L26494
1747,L26953
1748,L27050
1749,L27071
1750,L27479
1751,L27670
1752,L27745
1753,L27841_f
1754,L28175
1755,L28821
1756,L28824
1757,L28957
1758,L28957
1759,L29216
1760,L29220
1761,L29222
1762,L29339
1763,L29529
1764,L31409
1765,L31584
1766,L31801
1767,L31881
1768,L31951
1769,L32137_i
1770,L32137_i
1771,L32137_r
1772,L32140_f
1773,L32140_i
1774,L32163
1775,L32164
1776,L32179
1777,L32832
1778,L32961
1779,L32977
1780,L33243_i
1781,L33243_r
1782,L33404
1783,L33477
1784,L33799_f
1785,L33799_i
1786,L33881_f
1787,L33930
1788,L34035
1789,L34041
1790,L34056_f
1791,L34060
1792,L34060
1793,L34075
1794,L34081
1795,L34155
1796,L34219
1797,L34355
1798,L34357
1799,L34357
1800,L34774
1801,L34820_f
1802,L34820_i
1803,L34840
1804,L35233
1805,L35249
1806,L35251
1807,L35279
1808,L35545
1809,L35546_f
1810,L35594
1811,L36069
1812,L36531
1813,L36566
1814,L36642
1815,L36642
1816,L36645
1817,L36719
1818,L36818
1819,L36844_f
1820,L36844_i
1821,L36861
1822,L36870
1823,L37042
1824,L37086
1825,L37112
1826,L37347
1827,L37362
1828,L37378
1829,L38019
1830,L38503_f
1831,L38503_r_i
1832,L38517
1833,L38593
1834,L38593
1835,L38707
1836,L38734
1837,L38810_f
1838,L38928_f
1839,L38928_i
1840,L38928_i
1841,L38929
1842,L38951
1843,L38961
1844,L38969
1845,L39059_f
1846,L39059_i
1847,L39060
1848,L39833
1849,L39874
1850,L40027
1851,L40157
1852,L40357
1853,L40371
1854,L40380
1855,L40394
1856,L40400
1857,L40403
1858,L40410
1859,L40557
1860,L40817
1861,L40904
1862,L40992
1863,L41067
1864,L41142_i
1865,L41142_r
1866,L41143
1867,L41268_f
1868,L41349
1869,L41351
1870,L41351
1871,L41415
1872,L41559
1873,L41643
1874,L41870
1875,L41919
1876,L41919
1877,L41944
1878,L42110
1879,L42374
1880,L42450
1881,L42451
1882,L42452
1883,L43964
1884,L47162_f
1885,L47574
1886,L47724
1887,L48714
1888,L49207
1889,L49212_i
1890,L49218_f
1891,L49218_i
1892,L49231
1893,M10058
